Gene,Degree,Betweenness
9606.ENSP00000357048,31,0.00020943265757722058
9606.ENSP00000329419,43,0.0006218258774161036
9606.ENSP00000256682,32,0.00020026227874551432
9606.ENSP00000389095,18,0.00030223247386827447
9606.ENSP00000261890,84,0.002340742685443826
9606.ENSP00000249923,49,0.00023760640071053207
9606.ENSP00000306010,28,0.00019107213857905576
9606.ENSP00000440005,95,0.0017154179506352614
9606.ENSP00000418915,145,0.0028326819126345154
9606.ENSP00000438085,24,0.00018224608489584987
9606.ENSP00000376792,72,0.00023014692431149039
9606.ENSP00000386443,48,0.000637533562119315
9606.ENSP00000371175,23,0.0002033083452672691
9606.ENSP00000349437,39,0.0006383016188430632
9606.ENSP00000001008,32,0.00021208338024036587
9606.ENSP00000351646,71,0.0003252145096683589
9606.ENSP00000444810,42,0.0002792852903641842
9606.ENSP00000437125,201,0.0052731381935794885
9606.ENSP00000359385,89,0.0003993619528489833
9606.ENSP00000431512,53,0.00022082960905564475
9606.ENSP00000378199,74,0.0006602428123992128
9606.ENSP00000354558,176,0.0031971550505699273
9606.ENSP00000451828,432,0.016183636628210943
9606.ENSP00000482075,87,0.000736995990168445
9606.ENSP00000254322,71,0.00030503860396118894
9606.ENSP00000360609,304,0.00829224367743946
9606.ENSP00000302961,243,0.0069050788237096095
9606.ENSP00000222005,66,0.00013446098260748757
9606.ENSP00000231509,86,0.0007678233614075484
9606.ENSP00000335153,358,0.013120342810360041
9606.ENSP00000325120,73,0.000702891843949292
9606.ENSP00000292169,24,0.00038529791743360846
9606.ENSP00000408910,62,0.0013113657500831762
9606.ENSP00000234701,17,0.0004006826354152916
9606.ENSP00000485525,92,0.0005639333343683768
9606.ENSP00000364802,51,4.92675409549857e-05
9606.ENSP00000405330,255,0.006747115117199672
9606.ENSP00000363822,139,0.0029966811736563868
9606.ENSP00000364801,75,0.00023953813217708305
9606.ENSP00000359424,136,0.0008243271705320975
9606.ENSP00000260682,89,0.0002820884384832774
9606.ENSP00000360958,53,7.451875454062031e-05
9606.ENSP00000337450,51,0.00010507354029238353
9606.ENSP00000222982,81,0.00013699847109521415
9606.ENSP00000360317,69,8.930279062795677e-05
9606.ENSP00000297785,59,0.0010585382516352885
9606.ENSP00000224356,70,0.00030931852467916464
9606.ENSP00000480571,49,2.4688923842478166e-05
9606.ENSP00000342007,91,0.0004136685362991422
9606.ENSP00000498939,117,0.0011709832174024756
9606.ENSP00000378488,102,0.0005437424755578009
9606.ENSP00000363832,88,0.0005526774446951749
9606.ENSP00000285979,51,0.00011968069664511552
9606.ENSP00000301141,84,0.00029958223643587273
9606.ENSP00000304811,57,9.69865337598413e-05
9606.ENSP00000324648,83,0.00020687066346675192
9606.ENSP00000311095,65,0.00018581247310419952
9606.ENSP00000275764,14,0.00021949465672417952
9606.ENSP00000303174,69,9.201985369200289e-05
9606.ENSP00000323076,62,0.00015248323074134844
9606.ENSP00000301457,87,4.8190747760363846e-05
9606.ENSP00000263774,157,0.0006182879659186032
9606.ENSP00000356972,144,0.0005471684468273585
9606.ENSP00000418803,48,0.000130822443533444
9606.ENSP00000252711,93,4.2876329457977996e-05
9606.ENSP00000315774,159,0.0009076116451313623
9606.ENSP00000358272,57,4.608776215299002e-06
9606.ENSP00000233627,114,0.00013771462392613994
9606.ENSP00000260361,63,3.848434834850094e-05
9606.ENSP00000296597,60,4.732915556350467e-06
9606.ENSP00000259037,109,5.045344579323442e-05
9606.ENSP00000423673,126,0.0005559570003212874
9606.ENSP00000349142,206,0.0017095560721403225
9606.ENSP00000312618,49,8.440491960216674e-05
9606.ENSP00000270517,44,0.00038257615958944613
9606.ENSP00000417142,129,0.0005258272158459582
9606.ENSP00000306920,45,0.0008364945719174962
9606.ENSP00000359581,15,0.00045756981745878524
9606.ENSP00000333310,15,0.00023669227859458495
9606.ENSP00000308770,15,0.0002175943746940927
9606.ENSP00000272452,16,0.0002545795924526867
9606.ENSP00000377061,40,0.00026769929147818673
9606.ENSP00000265371,72,0.0008038069245374186
9606.ENSP00000003084,72,0.0020916763582388915
9606.ENSP00000366488,232,0.004903022635555597
9606.ENSP00000364235,27,0.0002883537512415675
9606.ENSP00000247461,98,0.002293153829240215
9606.ENSP00000308720,22,0.00028012178546541405
9606.ENSP00000357484,19,0.00028778977859567523
9606.ENSP00000494017,26,0.0002014324071156065
9606.ENSP00000248553,53,0.0003457653549237845
9606.ENSP00000361930,76,0.0005238119169947692
9606.ENSP00000397133,51,0.00023267005433103984
9606.ENSP00000259512,44,0.00023538988740834184
9606.ENSP00000348416,119,0.0028591129128453644
9606.ENSP00000309591,252,0.006870449273223193
9606.ENSP00000345873,15,0.00030106772162167536
9606.ENSP00000262461,15,0.00033369417623348185
9606.ENSP00000323867,52,0.00025166033211622174
9606.ENSP00000313391,49,0.00026991970051192107
9606.ENSP00000254101,51,0.0011669174580239425
9606.ENSP00000498246,27,0.0009300962903667379
9606.ENSP00000392330,28,0.0006282763835694013
9606.ENSP00000441369,49,0.00010888548713818904
9606.ENSP00000358866,102,0.0017359187318021707
9606.ENSP00000287878,68,0.0006273465238034417
9606.ENSP00000306330,42,9.9629601216815e-05
